Substance(s) active(s),P.Comm,Société,Fabricant
Prothioconazole +Tebuconazole + Spiroxamine,Cello,AGRONOMIC Land,BAYER CROPSCIENCE
Prothioconazole +Tebuconazole+Bixafen,SKYWAY XPRO EC,PROMOCHIMIE,BAYER AG
Pyraclostrobine + Dimotomorphe,Cabrio Duo,AGRIPROTEC,BASF
Pyraclostrobine +Epoxiconazole,Favia Max,COTUGRAIN IMPEX,BASF
Pythium oligandrum,POLYVERSUM,FERTIPLANT,BIOPREPARATY
Reynoutria sachalinensis,REYSANA,BIOPROTECTION,ELEPHANT VERT EUROPE SA
Sedaxane+Fludioxonil,VIBRANCE DUO FS,BIOPROTECTION,SYNGENTA AGRO AG
Soufre,Sulpex,AGRIMATCO,Agrostulln GmbH
Thiophanate-Méthyl,Top Plus,SOCOOPEC,AGRIA S.A
Thiophanate-Méthyl,Lagrophanate 70,STEC,CEQUISA / PHOSPHONIA/UPL
"2,4-D Sel d’amine",Chardol 720 SL,BIOPROTECTION,NUFARM
"2,4-D Sel d’amine",Topol,EL KHADRA,SHARDA
"2,4-D Sel d’amine",SHARMINA 720 SL,AGRINOVA,SHARDA
"2,4-D Sel d’amine",Stopweeds,SANABEL AGRO,SHARDA
"2,4-D Sel de Dimethylamine",Amanora,AGRIMATCO,UPL
"2,4-D Sel de Dimethylamine",DIAMEX SL,COTUGRAIN,UPL
"2,4-D Sel de Dimethylamine",BLITZ 720 SL,EL KHADRA,"JIANGSU FENGSHAN GROUP CO,LTD/NANJING FENGSHAN CHEMICAL"
"2,4-D Sel de Dimethylamine",BOZAR,AGRIPLUS,"JIANGSU FENGSHAN GROUP CO,LTD"
2.4-D + Glyphosphate,KYLEO,EL MOUSSEM AGRICOLE,NUFARM
2.4-D +Glyphosphate,NUFOSATESL,AGRIPROTEC,NUFARM
Aclonifen,Challenge 600SC,EL MOUSSEM AGRICOLE,Bayer AG
Iodosulfuron + MefempyrDiethyl,Sekator OD,AGRONOMIC Land,BAYER CROPSCIENCES
Aminopyralydes + Florasulam,Lancelot NEO 450 WG,SEPCM,DOW AGROSCIENCES
Aminopyralydes + Florasulam +2.4 D EHE,Nikos forte,ATLAS AGRICOLE,DOW AGROSCIENCES
Arylex active(halauxifen-methyl) + pyroxsulam +cloquintocet acide,TARZEK + UPTAKE SL,ATLAS AGRICOLE,Dow Agrosciences
Clethodim,CLODIM FORTE 240 EC,SOLAGRI,SYNGENTA
"Dicamba +2,4 – D",Dialen Super,BIOPROTECTION,SYNGENTA
Dicamba +Prosulfuron,CASPER 55 WG,SOLAGRI,Syngenta
Diflufenican + Flufenacet + Flurtamone,Vigon 420 SC,PROMOCHIMIE,BAYER CROPSCIENCE
Diflufenican + Metsulfuron-méthyl,Alliance,BIOPROTECTION,NUFARM S.A
Diflufenican + Metsulfuron-méthyl,polymer WG,AGRIPROTEC,NUFARM S.A
Diflufenican +flufenacet,RELIANCE SC,BIOPROTECTION,UPL
Dimethenamid-P+Metazachlor +Quinmerac,BUTISAN AVANT SE,COTUGRAIN,BASF
Florasulam +tribenuron-methyl,GRANSTAR MAX WG,AGRIPROTEC,chenminova/FMC
Fluazifop-P-Butyl,FOUZILE EC,ETS MEZGHANI,INDUST. QUIMICA KEY
Flucarbazone-sodium,Everest 70 WG,AGRIPROTEC,ARYSTA LIFESCIENCE
Flucarbazone-sodium,Vulcano,AGRIPROTEC,ARYSTA LIFESCIENCE
Fluroxypyr +Clopyralid,KINVARA ME,AGRIPROTEC,BRACLAY
Glufosinate d'aluminium,Glufosam SL,sharda crochem tunisie,sharda cropchem
Glyphosate,GLYFOSTAR,SLDA,SHARDA CROPCHEM Ltd
Glyphosate,GLYPHO-CAP,NEGANOR FFT,HOCKLEY INTERNATIONAL LIMITED
Glyphosate,GLYFAST 450 SL,AGRIPROTEC,Braclay chemicals
Glyphosate + Oxyfluorfène,Brout,SEPCM,AAKO
Glyphosate +Carfentrazone-ethyl,Affinex,COTUGRAIN IMPEX,FMC
Halauxifen-methyl +aminopyralid +cloquintocet –mexyl,TREZAK EC,EL BARAKA AGRICOLE,Dow agroscience
Linuron,Afalon 50 L SC,SEPCM,AAKO BV
Mésosulfuron-Méthyl(Mesomax) +Iodosulfuron +Méfenpyrdiéthyl,Amilcar,STEC,BAYER CROPSCIENCE
Mésosulfuron-Méthyl+Iodosulfuron – Méthyl Sodium + Méfenpyrdiéthyl (SAFENER),Amilcar OD,STEC,BAYER CROPSCIENCE
Mésosulfuron-Méthyl+Iodosulfuron-Methyl +Méfenpyrdiéthyl,Atlantis OD,ATLAS AGRICOLE,BAYER CROPSCIENCE
Metribuzine,Maestro 75 WG,BIOPROTECTION,AAKO
Metribuzine,Sencor 600SC,PROMOCHIMIE,BAYER CROPSCIENCE
Metribuzine,MAYA,SLDA,UPL
Metribuzine,DANCOR 70,PROTAGRI,UPL
Pendimethaline +Clomazon,STALLION,AGRIPROTEC,FMC
Phenmedipham + Desmedopham +Ethofumesate,BETASANA TRIO,AGRIPROTEC,UPL Limited
Pinoxaden +Clodinafop-propargyl+Cloquintocet-mexyl,Traxospratic,BIOPROTECTION,Syngenta
Pinoxaden +Clodinafop-propargyl+Florasulam+cloquintocet-mexyl,Swipe,BIOPROTECTON,Syngenta
Pinoxaden +Cloquintocet-méxyl,Axial pratic,BIOPROTECTION,Syngenta
Pyroxsulam +Florasulam +Cloquintocetmexyl,Floramix,SEPCM,DOW AGROSCIENCES
Pyraflufen-ethyl,VOLCAN EC,ATLAS AGRICOLE,SPICAM INAGRA SA
Quizalofop –p-ethyl,JAGUAR 100 EC,EL KHADRA,"JIANGSU FENGSHAN GROUP CO,LTD/NANJING FENGSHAN CHEMICAL"
Quizalofop –p-ethyl,SYMBA EC,AGRIPLUS,"JIANGSU FENGSHAN GROUP CO,LTD"
Saflufenacil,Heat,AGRIPROTEC,BASF CORPORATION
Simazine,SIMAKEY,Ets MEZGHANI,INDUSTRIAL QUIMICA KEY/
S-metolachlor,Dual gold 960 EC,AGRIPROTEC,SYNGENTA
Tribenuron-Methyl,Corida 75 WG,SOCOOPEC,AGRIA
Tribenuron-Methyl,TRIBUNEO 75 G,SSCC,AGRIA
Trebuniron-methyl + Florasulame,FLAME DUO SG,SOLAGRI,ALBAUGH
Trifluraline,Herbaline,SEPCM,AAKO
Trifluraline,RALINE 480 EC,EL KHADRA,"JIANGSU FENGSHAN GROUP CO,LTD/NANJING FENGSHAN CHEMICAL"
Trifluraline,HERBASTAR EC,AGRIPLUS,"JIANGSU FENGSHAN GROUP CO,LTD"
Trifluraline,Flural,Ets MEZGHANI,INDUSTRIAL Q.
Hydrolysat de Protéines,CeraBait,EL MOUSSEM,EVIE MICHAAILIDES
Dichloroprop-p,clementgros,SANABEL AGRO,NUFARM
Alkylphenolexy-Ethylène,Etaldyne 95,SEPCM,CMPA/Espagne
Métaldéhyde,Antilimace granule,SEPCM,CEQUISA S.A
Methaldehyde,ESCARGOCHE,SOCOOPEC,SHARDA
Huile de colza,codacide EO,AGRIMATCO,Mirocide Ltd
Huile non ionique,GARAL EC,SOLAGRI,Syngenta
Métaldéhyde,Super meta,STEC,"CEQUISA/PHOSPHONIA, SL)"
Aurebasidium pillulan(2 souches) :DSM 14940 +DSM 14941,Blossom protect,STIMA,BIO FERM
Acetamiprid + pyriproxyfen,CANVION310 DC,COTUGRAIN,Syngenta Crop Protection
"Bacillus thuringiensis (spKurstaki),souche ABTS-351",touta stop WP,ets mezghani,industrial quimica key
Cyantraniliprole +Acibenzolar-S-methyl,PLESIVA ALPHA SC,BIOPROTECTION,SYNGENTA
Cypermethrine,CYPGOLD 500 EC,EL MOUSSEM,ARYSTA LIFESCIENCE
Cypermethrine,CYRUX,PROTAGRI,UPL
Cypermethrine,Belem 0.8 MG,SEPCM,SBM FORMULATION/CMPA
Cyperméthrine,Selene,ETS. MEZGHANI,INDUSTRIAL QUIMICA KEY
Cyperméthrine,Sherpa,JADWA AGROTEC,CMPA
Azoxystrobine,Cayen 500 WG,RAYEN PHYTAGRI,SHARDA
Azoxystrobine,SINSTAR SC,SANABEL AGRO,SINON CORPORATION
Azoxystrobine,Globaztar 250 SC,AGROSYSTEMES,Globachem
Azoxystrobine +Difenoconazole,FULL TOP SC,NEGANOR,JIANGYIN SULI CHEMICALCO
Azoxystrobine +Difeconazole,PRIORI GOLD 250 SC,SOLAGRI,SYNGENTA Crop Protection
Azoxystrobine +Epoxiconazole,TAZER XPERT SC,el moussem,NUFARM
Azoxystrobin + Flutriafol,CURAX EXTRA SC,SHARDA CROPCHEM TUNISIE,SHARDA CROPCHEM
Azoxystrobin + Flutriafol,CURATEX EXTRA SC,FERTITECH,SHARDA CROPCHEM
Captane,FILDER,EL MOUSSEM,ARYSTA LIFESCIENCE/UPL
Captane,Captan 83 WP,AGRIPROTEC,ARYSTA
Chlorothalonil +Tebuconazole,Tiger,EL MOUSSEM AGRICOLE,PARIJAT INDUSTRIES
Chlorothalonil +Tebuconazole,CAMARO COMBI SC,RAYEN PHYTAGRI,PARIJAT INDUSTRIES
Chlorothalonil +Tebuconazole,Timpani,EL MOUSSEM AGRICOLE,NUFARM
Cyflufenamid,CONFIRM 5 EW,EL MOUSSEM,NIPPON SODA/ Nisso Chemical Europe GmbH
Cyproconazole,Xpert WG,EL KHADRA,Sharda
Cyproconazole +Azoxystrobin,Priori Xtra,SOLAGRI,SYNGENTA
Cyproconazole +Propiconazole,WINTER 41 EC,AGRIMED DISTRIBUTION,SHARDA
Cyproconazole +Propiconazole,TAZOLE 410 EC,EXCEL AGRI,SHARDA
Epoxiconazole,Nupoxyn,EL MOUSSEM AGRICOLE,NUFARM
Epoxiconazole,ceriazole SC,agriprotec,NUFARM
Epoxiconazole,Orage,SANABEL AGRO,SINON CORPORATION
Epoxiconazole+Fluxapyroxad(xemium),ADEXAR XTRA EC,STIMA,BASF
Famoxadone + Mancozebe,Clip,AGRIMATCO,DU PONT INTERNATIONAL/corteva
Famoxadone +cymoxanil,VENUS WG,STIMA,"Shengnong Pesticide,"
Flutriafol + Tébuconazole,Pointer Duo,AGROSYSTEMES,CHEMINOVA/FMC
Fluxapyroxad + Pyraclostrobine,PRIAXOR SE,COTUGRAIN IMPEX,BASF
Iprodione,Driza WG,EL KHADRA,INDSUTRIAS
Mancozébe,MANCOFLASH,RAYEN PHYTAGRI,INDOFIL
Mancozèbe,Triziman 80,AGRIPROTEC,UPL
Mandipropamide +Difenoconazole,CARIAL TOP,BIOPROTECTION,SYNGENTA
Mandipropamide +Mancozebe,amphore gold WG,SOLAGRI,SYNGENTA
Mandipropamid+ Oxathiapiprolin,ORONDIS ULTRA280 SC,Cotugrain,Syngenta Crop Protection
Mefentrifluconazole +Fluxapyroxade,VERYDOR,COTUGRAIN,BASF
Oxathiapiprolin +famoxadone,Zorvec encantia SE,EL BARAKA,CORTEVA
Penconazole,Topenco 100 EC,AGROSYSTEMES,GLOBACHEM
Penconazole,BuckleR,AMINCO,GLOBACHEM
Pencycuron,Monceren,PROMOCHIMIE,BAYER CROPSCIENCE/Gowan Crop Protection
Penthiopyrad,KABUTO,EL MOUSSEM,"Mitsui Chemicals Agro,Inc"
Propamocarbe +Fosethyl- Al,Filex Energy,ATLAS AGRICOLE,BAYER CROPSCIENCE
Propamocarbe +Fosethyl- Al,Previcur Energy,EL MOUSSEM AGRICOLE,BAYER CROPSCIENCE
Propiconazole,syterna EC,ets mezghani,fengdeng usa
Propiconazole,VALEO 25 EC,delta agricole plus,Sharda cropchem
Propiconazole,TIFO 25 EC,FERTIPLANT,Sharda cropchem
Propiconazole,Tilt 250,BIOPROTECTION,SYNGENTA
Propinèbe,Antracol,PROMOCHIMIE,BAYER CROPSCIENCE
Prothioconazole +benzovindiflupyr(SOLATENOL),CERATAVO ERA,BIOPROTECTION,SYNGENTA
Prothioconazole + Trifloxystrobine,Madison 263 SC,SEPCM,BAYER CROPSCIENCE
Prothioconazole +Tebuconazole,PROTECT PLUS EC,EXCEL AGRI,SHARDA CROPCHEM
Prothioconazole +Tebuconazole,Perfecto EC,SHARDA,SHARDA
Prothioconazole +Tebuconazole + Spiroxamine,Cello,AGRONOMIC Land,BAYER CROPSCIENCE
Prothioconazole +Tebuconazole+Bixafen,SKYWAY XPRO EC,PROMOCHIMIE,BAYER AG
Pyraclostrobine + Dimotomorphe,Cabrio Duo,AGRIPROTEC,BASF
Pyraclostrobine +Epoxiconazole,Favia Max,COTUGRAIN IMPEX,BASF
Tebuconazole,COLOSSALSous réserve de changement de DC,HALAB TUNISIE,AVGUST CROP CORPORATION
Tebuconazole,Timer FS 060,STEC,BAYER CROPSCIENCE
Tébuconazole,SPEEDY SC,EL KHADRA,NINGBO SUNJOY AGROSCIENCE INDUSTRY/Cropidea
Tébuconazole,Konan EW,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY
Tébuconazole,Horizon 250 EW,PROMOCHIMIE,BAYER CROPSCIENCE
Tébuconazole,TEBUZOL 25 EW,Agriprotec,UPL LIMITED
Tebuconazole +Prochloraz,Mystic Pro,AGRIPROTEC,NUFARM SAS
Tebuconazole +Prochloraz,Winner,BIOPROTECTION,NUFARM SAS
Cléthodime,Select Super,BIOPRO,Non spécifié
Pinoxaden +Clodinafop-propargyl+Florasulam+cloquintocet-mexyl,Swipe,BIOPROTECTON,Syngenta
Pinoxaden +Cloquintocet-méxyl,Axial pratic,BIOPROTECTION,Syngenta
Deltaméthrine,Delta Decis EC 25,EL MOUSSEM AGRICOLE,BAYER CROPSCIENCE
Deltaméthrine,Deltacal,BIOPROTECTION,ARYSTA LIFESCIENCE
Deltaméthrine,Fruithrine,PROTAGRI,United Phosphorus Ltd
Captane,MITANE,SOCOOPEC,SHARDA
Captane,PROTHANE,DELTA AGRICOLE PLUS,SHARDA
Captane,CAPITOL 80 WG,AGRONOMIC Land,SHARDA
Captane,Captan 83 WP,AGRIPROTEC,ARYSTA LIFESCIENCE
Captane,Akotan 830 WP,SEPCM,ARYSTA LIFESCIENCE
Chlorothalonil +Metalaxyl –M,ARIS GOLD,COTUGRAIN IMPEX,SYNGENTA
Cyproconazole + chlorothalonil,CHAMPION,SOCOOPEC,SHARDA CROPCHEM
Cyproconazole + chlorothalonil,CYCLONE,SANABEL AGRO,SHARDA CROPCHEM
Cyproconazole + Propicinazole,Menara 410 EC,AGRIPROTEC,SYNGENTA
Cyproconazole + Propicinazole,TAZOLE 410 EC,AGRONOMIC Land,SHARDA
Cyproconazole + Propicinazole,TWIST SUPER EC,ATLAS AGRICOLE,SHARDA
Cyproconazole + Propicinazole,WINTER 41 EC,AGRIMED DISTRIBUTION,SHARDA
Cyproconazole + Picoxystrobine,Acanto plus,SEPCM,DU PONT INTERNATIONAL
Cyproconazole + Picoxystrobine,STINGER SC,ATLAS AGRICOLE,DU PONT INTERNATIONAL
Cyprodinil,Unix 50 WG,EL MOUSSEM AGRICOLE,SYNGENTA
Epoxiconazole,Opus,STIMA,BASF
Epoxiconazole,Soprano,SEPCM,AAKO
Epoxiconazole,Scooby doo,AMINCO,GLOBACHEM
Epoxiconazole,Spike,AGROSYSTEMES,GLOBACHEM
Epoxiconazole,Eponeo,AMINCO,Cheminova
Flutriafol + Thiabendazole,Vincit F,AGRIPROTEC,CHEMINOVA
Mandipropamide + Chlorothalonil,Carial Opti,BIOPROTECTION,SYNGENTA
Propiconazole,BANNER EC,AGRIPLUS,HEBEI VEYONG BIO-CHEMICAL CO.LTD
Propiconazole + Cyproconazole,Alto super,BIOPROTECTION,SYNGENTA
Propiconazole + Tebuconazole,Collosal Pro,EL KHADRA,AUGUST JSC
Prothioconazole +Tebuconazole,Kestrel 240 EC,JADWA AGROTEC,BAYER CROPSCIENCE
Prothioconazole + Tebuconazole + Spiroxamine,Soligor 425,ATLAS AGRICOLE,BAYER CROPSCIENCE
Tebuconazole,Mycoseeds FS 60,EL KHADRA,Sharda World wide
Tebuconazole,SONG EC,ATLAS AGRICOLE,SIPCAM INAGRA
Tébuconazole,Matiz,SANABEL AGRO,ROTAM AGROCHEMICAL
Tébuconazole,METROSTAR SC,AGRIPLUS,NINGBO SUNJOY AGROSCIENCE INDUSTRY
Triadimenol + Spiroxamine + Tebuconazole,Falcon 460 SC,AGRONOMIC Land,BAYER CROPSCIENCE
Clodinafop-propagyl +Cloquintocet-mexyl,Navigator,BIOPROTECTION,SYNGENTA
Propoxycarbazon Sodium,Attribut 70 SG,EL MOUSSEM AGRICOLE,BAYER CROPSCIENCE
Beauveriabassianastrain R444,Bb-Protec WP,ALOHA Agriculture,Plant Health Products (phy)/Sud d'afrique/Andermatt PHP(Pty) Ltd/ANDERMATT BIOCONTROL GROUP AG
Bifenazate,COMITE 240 SC,BIOPROTECTION,CHEMTURA/AR
Emamectin benzoate,Proact 50 EC,TASMID,ASTRACHEM
Emamectin benzoate,PROFAST EC,PLANETE VERTE,ASTRACHEM/ASTRANOVA
Emamectin benzoate,Proclaim 05 SG,BIOPROTECTION,SYNGENTA
Emamectin benzoate,JEMSTAR,FERTIPLANT,Krishlifescience
Emamectin Benzoate + Pyriproxyfen,PROXYSAFE EC,PLANETE VERTE,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD
Emamectin benzoate + Spinosad,SPANVIC PLUS SC,UNIAGRO,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD
Emamectin benzoate + Spinosad,SMECTO SC,NEGANOR FFT,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD
Etofenprox,TREBON EC,ATLAS AGRICOLE,SIPCAM INAGRA S.S
Etoxazole,BORNEO 10 SC,BIOPROTECTION,SUMITOMO CHEMICHAL AGRO EUROPE S.A.S
"(E,Z,Z)-3,8,11-Tetradecadien -1- yl acetate( 53.8 mg/diffuseur) (E,Z)-3,8 –Tetradecad ien -1-yl acetate(6.2 mg/diffuseur)",SHIN –ETSU MD T,COTUGRAIN,Shin ETSU chemical/ CBC (EUROPE)
Fenpyroximate,FLASH EVO,EL KHADRA,SIPCAM INAGRA (ancientfabricant: NIHON NOHYAKU Co. Ltd)
Fenpyroximate,Mitacid,INNOVA,SIPCAM INAGRA (ancientfabricant: NIHON NOHYAKU Co. Ltd)
Lambda-cyhalothrine,BREAK ME SC,EL KHADRA,AUGUST inc/CORPORATE
Indoxacarbe,Vaulent,TASMID,ASTRACHEM
Azoxystrobine,ASTRO EC,TASMID,ZHEJIANG E-TONG CHEMICAL
Azoxystrobine,LEGADO 250 SC,EL KHADRA,INDUSTRIAS AFRAZA/ALBAUGH EUROPE SARL
Azoxystrobine +Cyproconazole,COUGAR SC,PROTAGRI,UPL LIMITED
Azoxystrobine +Cyproconazole,DOUBLE FORCE,SANABEL AGRO,SHARDA
Azoxystrobine +Difenoconazole,ALLIANCE TOP SC,AGRI PLUS,NANJING AGROCHEMICAL
Azoxystrobine +difenoconazole,Black panther SC,FERTITECH,HANGZHOU TOPAGRO BIOSCIENCE
Captane,CAPLANT EC,FERTIPLANT,Sharda Cropchem Limited
captane,KAPI-TOP 48 EC,Agrinova,SHARDA CROPCHEM
Cymoxanil +Famoxadone,Equation Pro,SEPCM,DU PONT (Taiwan) AGRISCIENCE
Cymoxanil + Métirame de Zinc,BATO,AGRIMATCO,BASF
Cymoxanil + Métirame de Zinc,Aviso DF,STIMA,BASF
Difenoconazole+Cyflufenamid,DYNALI DC,SOLAGRI,SYNGENTA
Difenoconazole + Fludioxonil,DIFEND EXTRA FS,AGROSYSTEMES,Globachem
Dodine,Syllit 400 SC,PROTAGRI,ARYSTA Life Science Benelux / Belgique/UPL
Dodine,Efluzin 400 SC,SEPCM,ARYSTA Life Science Benelux / Belgique/ARYSTA
Fluopyram + Tebuconazole,Moon Experience SC,ATLAS AGRICOLE,BAYER CROPSCIENCE
Fluopyram + Trifloxystrobine,Luna Sensation,ATLAS AGRICOLE,BAYER CROPSCIENCE
Kreoxim-methyl,SUGOBY WG,RAYEN PHYTAGRI,"LAINCO ,S,A/ESPAGNE"
Krésoxim-méthyl,QUIMERA WG,EL KHADRA,INDUSTRIAS AFRAZA/ALBAUGH EUROPE SARL
Laminarin,VACCIPLANT,EL MOUSSEM,GOEMAR SAS/ARYSTA/UPL
Myclobutanil,FLUANCE 125 EC,EL MOUSSEM AGRICOLE,Indofil Industries Limited/ARISTEAS Agro
Oxathiapiprolin +famoxadone,Zorvecencantia SE,EL BARAKA,CORTEVA
Pyraclostrobin +Boscalid,FOXTON 30 SC,AGRIMATCO,"LoatingYoloo Bio-Technology Co ,Ltd/chine"
Promocarb +Cymoxanil,proxanil 450 SC,BIOPROTECTION,arystalifescience
Promocarb +Cymoxanil,Rival duo 450 SC,AGRONOMIC Land,Agria
Prothioconazole + Trifloxystrobine,DELARO DUO SC,ATLAS AGRICOLE,BAYER CROPSCIENCE
Prothioconazole +Tebuconazole,Perfecto EC,SHARDA CROPCHEM tunisie,Sharda Cropchem
Trichodermaatroviride 77B,T-77 WP,Aloha agriculture,Plant Health Products (phy)/Sud d'afriquePlant Health Products (phy)
Zirame,Thionicautodispers ible,AGROSYSTEMES,TAMINCO/EASTMAN
Fluroxypyr,keynyl herbicide EC,etsmezghani,industrialquimicakey
Fluroxypyr (ester1-methylheptyl),Flurostar 200,AGROSYSTEMES,GLOBACHEM
Fluroxypyr +Clopyralid,VEGA EC,AGRIMED DISTRIBUTION,Non spécifié
Propaquizafop,KIFEN EC,SANABEL AGRO,SHARDA CROPCHEM limited
Propyzamide,PROPYZ,AGRIPROTEC,BARCLAY CHEMICALS Ltd
Propyzamide,PROPER FLO SC,AGROSYSTEMES,Globachem
Fluazaindolzine,SALIBRO 500 SC,BARAKA Agricole,CORTEVA
Brodifacoum,Broditop,ETS MEZGHANI,ZAPI SPA
Abamectine,ROMECTIN EC,AGRONOMIC LAND,"ROTAM CHEMISTRY CO.,Ltd"
Abamectine,VARGAS ULTRA EC,SOLAGRI,"ROTAM CHEMISTRY CO.,Ltd/ALBAUGH"
Abamectine,Vertimec,BIOPROTECTION,SYNGENTA
Abamectine,Diva 1.8 EW,EL MOUSSEM AGRICOLE,CHEMINOVA
Abamectine,ZORO,SSCC,CHEMINOVA/ FMC
Acetamiprid,CAPILAN SL,NEGANOR,AGROW ALLIED
Beauveria bassiana strain ATCC 74040,Naturalis,COTUGRAIN,CBC europe/italie
Chlorantraniliprole +LambdaCyhalothrine,BESIEGE 150 ZC,COTUGRAIN IMPEX,SYNGENTA
Cyflumetofen,DANIRANGER 10DC,AGRIMATCO,OAT AgrioCO.Ltd
Cyflumetofen,VELAR 20 SC,cotugrain,OAT agrio(fab)/Japo(LI
Cypermethrine,SYNCHRO,EL KHADRA,SHARDA CROPCHEM LIMITED INDE
Cypermethrine,SINOCYPER,EL KHADRA,CROPSAVE PESTICIDES INDIAN PVT.LTD
Cypermethrine,CYPRINE,TASMID,CROPSAVE PESTICIDES INDIAN PVT.LTD
Cypermethrine,CYPERNOVA,AGRINOVA,SHARDA CROPCHEM LIMITED INDE
Cypermethrine,CYPGOLD 500 EC,EL MOUSSEM,ARYSTA LIFESCIENCE /UPL
Huile minérale,PetrOil,SOCOOPEC,PETRONAS LUBRICANTS
Huile minérale,Plant oil,STE EL KHADRA,INDUSTRIAS AFRAZA/ALBAUGH EUROPE SARL
Indoxacarb,PIXEL SC,FERTITECH,TOPAGRO BIOSCIENCE
Indoxacarb,POTER,PROTAGRI,NANJING AGROCHEMICAL
Indoxacarb,INDOXAL XTRA WDG,AGRINOVA,AGROBEATS TECH CHINE
Indoxacarb,VEROX WDG,SANABEL AGRO,AGROBEATS TECH CHINE
Indoxacarbe,OXAL SC,NEGANOR,Jingboagrochemicals technologie
Lambda-cyhalothrine,ALLEYA ME,EL KHADRA,AUGUST inc/CORPORATE
Lambda-cyhalothrine,SIAL ME,NEGANOR FFT,AUGUST inc/CORPORATE
Manipropamide +Oxychlorure de cuivre,REVUS C,BIOPROTECTION,SYNGENTA
metarhiziumrileyi strain PHP1705:1x108 CFU/g (1.0 W/W %),Nomu-Protec,ALOHA,ANDERMATT PHP (Pty) AFRIQUE DE SUD
Methoxyfenozide,Runner,PROMOCHIMIE,DOW AGROSCIENCES/ corteva
Milbemectin,Milbeknock,AGRIPROTEC,"Mitsui Chemicals Agro,Inc/summit agro"
Tebufenozide,MIMIC 240 SC,EL MOUSSEM AGRICOLE,NIPPON SODA/Japan
Tefluthrine,VOLTRA 0.5 G,COTUGRAIN,SYNGENTA
Tefluthrine,DIASTAR MAXI GR,RAYEN PHYTAGRI,DIACHEM
Tolfenpyrade,HACHI-HACHI EC,EL KHADRA,SIPCAM INAGRA
Azoxystrobine,Azox SC,Ets MEZGHANNI,"JIANGYIN SULI CHEMICAL CO.LTDi,Q,Key"
Azoxystrobine,AXYTOP 50WG,EXCEL AGRI,SHARDA CROPCHEM INDE
Boscalid + Pyraclostrobin,BOOSTER WG,NEGANOR,NANJING Agrochemical /chine
Cuivre,Siscop 60 SC,SEPCM,AAKO BV
Cuivre +cymoxanil,Cuprofix C WG,EL MOUSSEM,UPL
Cymoxanil +Bouillie bordelaise,FESTIVAL WP,RAYEN PHYTAGRI,"LAINCO, S, A/ESPAGNE"
Cymoxanil +Famoxadone,Equation Pro,SEPCM,DU PONT (Taiwan) AGRISCIENCE/CORTEV A
Dithianon +Pyrachlostrobin,MACCANI,COTUGRAIN IMPEX,BASF
Famoxadone +cymoxanil,VENUS WG,STIMA,"Shengnong Pesticide, Co. Ltd/hangzhouTopagro Bioscience"
Famoxadone +cymoxanil,EQUALIZER WG,RAYEN PHYTAGRI,"Shengnong Pesticide, Co. Ltd/hangzhouTopagro Bioscience"
Famoxadone +cymoxanil,CYMOFLEX WG,PROTAGRI,NANJING AGROCHEMICAL
Fenhexamide,Teldor,PROMOCHIMIE,BAYER CROPSCIENCE
Fenpyrazamine,PROLECTUS 50WG,SEPCM,SUMITOMO CHEMICAL AGRO Europe
Fluxapyroxad +difenoconazole,SERCADIS PLUS SC,AGRIPROTEC,BASF
Fosethyl-Al +Cymoxanil + Folpel,BELKAP EXTRA,AGROSYSTEMES,PROBELTE
Fosethyl-Al +Cymoxanil + Folpel,Anteor flash,ATLAS AGRICOLE,BAYER AG
Fosetyl –al,ALU-VITE WP,TASMID,LIMIN CHEMICAL CO.LTD
Fosetyl –al,ALLUM WG,EL MOUSSEM AGRICOLE,NUFARM
Fosetyl –al,lotus,SANABEL AGRO,NUFARM
Fosetyl-Al,KEYFOL 80 WP,Ets MEZGHANI,LIMIN CHEMICAL
Hydroxyde de cuivre,Copper Progress,AGROSYSTEMES,SPEISS URANIA/COSACO GmbH
Krésoxim-méthyl,ALLIAGE DF,AGRIMATCO,BASF
Krésoxim-méthyl,Kresoxystar 350SC,Ets Mezghani,ANHUI HUAXING CHEMICAL INDUSTRY CO.Ltd/CHINE( Nanjing agrochemical
Krésoxim-méthyl,Stroby DF,STIMA,BASF
Mefentrifluconazole,REVYSTAR EC,AGRIMATCO,BASF
Mefentrifluconazole + Pyraclostrobin,REVYCARE EC,AGRIPROTEC,BASF
Myclobutanil,MYCLONE 24 EC,RayenPhytagri,SHARDA CROPCHEM LIMITED INDE
myclobutanil,PROMY,AGRINOVA,SHARDA CROPCHEM LIMITED INDE
Myclobutanil,Systhane 240 EC,SEPCM,DOW AGROSCIENCES/corteva
Prochloraze +Triticonazole,REAL SUPER,AGRIPROTEC,BASF
Prothioconazole +Tebuconazole,Kestrel 240 SC,JADWA AGROTEC,BAYER CROPSCIENCE
Prothioconazole +Tebuconazole,Prosaro 250 EC,PROMOCHIMIE,BAYER CROPSCIENCE
Pyraclostrobin +Fenpropimorph,COMET PLUS EC,Agriprotec,BASF
Pyraclostrobin +fluxapyroxad,ORKESTRA SC,BIOPROTECTION,BASF
Pyriméthanil,PYRAMIDE,EXCEL AGRI,SHARDA CROPCHEM LIMITED INDE
