Produit_Commercial,Société,Fabricant
Aramo 50 EC,COTUGRAIN IMPEX,BASF
BESIEGE 150 ZC,COTUGRAIN IMPEX,SYNGENTA
Bonbard,COTUGRAIN IMPEX,BASF
CIGNA 50 EC,COTUGRAIN IMPEX,SYNGENTA
EPIC TOP SE,COTUGRAIN IMPEX,BASF
FURY 10,COTUGRAIN IMPEX,FMC Chemical
Favia Max,COTUGRAIN IMPEX,BASF
Fury Geo,COTUGRAIN IMPEX,FMC
MACCANI,COTUGRAIN IMPEX,BASF
MELCAR TOP 140 DC,COTUGRAIN IMPEX,SYNGENTA
Midash 350 SC,COTUGRAIN IMPEX,SHARDA
PRIAXOR SE,COTUGRAIN IMPEX,BASF
Rovral Aquaflo,COTUGRAIN IMPEX,FMC
SOLVIGO 185 SC,COTUGRAIN IMPEX,SYNGENTA
Signum WG,COTUGRAIN IMPEX,BASF
Timectin,COTUGRAIN IMPEX,Tide Ningbo Ltd.
DELTOP EC,COTUGRAIN Impex,nan
PYROS SC,COTUGRAIN Impex,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD
QUELEX,COTUGRAIN Impex,Dow Agrosciences/COR TEVA
SPOZINE SC,COTUGRAIN Impex,SHANDONG
SUPREME 25 EW,COTUGRAIN Impex,UPL LIMITED
VELIFER OD,COTUGRAIN Impex,BASF
VIGILANT 480,COTUGRAIN Impex,CHEMTURA /UPL
T i m e c t i n,COTUGRAIN impex,Tide Ningbo Ltd.
nan,CROPCHEM,CROPCHEM
nan,CROPCHEM tunisie,nan
ORONDIS,Cotugrain,Syngenta Crop
ORONDIS ULTRA280 SC,Cotugrain,Syngenta Crop Protection
Hoprole Xtra,DELTA,Shandong weifang
Hoprole Xtra,DELTA,Shandong weifang rainbow chemical0
METAX,DELTA,SHARDA
Penda,DELTA,SHARDA
DIQUASH,DELTA AGRICOLE,SHARDA
M i l T o p,DELTA AGRICOLE,MEGHMANI
METAX,DELTA AGRICOLE,SHARDA
PROTHANE,DELTA AGRICOLE,SHARDA
Penda,DELTA AGRICOLE,SHARDA
QUICK EC,DELTA AGRICOLE,SHARDA
Timerole plus,DELTA AGRICOLE,Shandong weifang
DIQUASH,DELTA AGRICOLE PLUS,SHARDA
METAX,DELTA AGRICOLE PLUS,SHARDA
PROTHANE,DELTA AGRICOLE PLUS,SHARDA
Penda,DELTA AGRICOLE PLUS,SHARDA
Penda,DELTA AGRICOLE PLUS,nan
QUICK EC,DELTA AGRICOLE PLUS,SHARDA
nan,DELTA AGRICOLE PLUS,SHARDA
Mil Top Agriphanate Thiomil,DELTA AGRICOLE PLUS AGRIPROTEC PROTAGRI,MEGHMANI INDUSTRIES MEGHMANI INDUSTRIES MEGHMANI INDUSTRIES
nan,DISTRIBUTION,/FITOGAL
nan,DISTRIBUTION,nan
buzzin,Delta agricole plus,sharda cropchem
buzzin,Delta agricole plus,sharda cropchem limited
buzzin,Delta agricole plus,shardacropchemli mited
buzzin,Delta agricole plus,nan
C o p e z i n e 5 0,E L K H A D R A,SIPCAM
C o p e z i n e 5 0,E L K H A D R A,SIPCAM QUIMAGRO
G L I S O 3 6 0,E L K H A D R A,S I P C A M I N G A R A
G L I S O 3 6 0,E L K H A D R A,S I P C A M INGARA
G L I S O 3 6 0,E L K H A D R A,S I P C A M I N G ARA
G L I S O 3 6 0,E L K H A D R A,S I P C A M I N GARA
W e e d K i l l e r,E L K H A D R A,S h a r d a W o r l d W i d e
W e e d K i l l e r,E L K H A D R A,S h a r d a W o rld Wide
W e e d K i l l e r,E L K H A D R A,S h a r d a W o r l d Wide
W e e d K i l l e r,E L K H A D R A,S H A R D A CROPCHEM LIMITED INDE
M a n k e y Trimangol Ridanèbe,E T S . MEZGHANI STEC SEPCM,INDUST. QUIMICA KEY CEREXAGRI BV CEREXAGRI/UPL
C o b r a K e y,E T S M E Z G H A N I,INDUSTRI.
C o b r e Key,E T S M E Z G H A N I,I N D U S T R I . QUIMICAKEY
F o r t i n,E T S M E Z G H A N I,I N D U S T R L Q U I M I C A
F o r t i n,E T S M E Z G H A N I,I N D U S T R LQUI MICAKEY
F o r t i n,E T S M E Z G H A N I,I N D U S T R L Q UIM ICAKEY
P R I S M A S L,E T S M E Z G H A N I,I N D U S T R I A L Q U I M I CA KEY
P R I S M A S L,E T S M E Z G H A N I,I N D U S T R I A L Q U IMICA
C o b r e K e y,E T S M E Z G H A NI,INDUSTRI. QUIMICAKEY
C o b r e K e y Cuivox Cuprocuivre Curenox Hidrocobre 50 valles Cuprene Copezine 50 Roxon 50 Inacop PM,E T S M E Z GHANI STEC SEPCM SOCOOPEC SOCOOPEC INNOVA EL KHADRA SANABEL AGRO ATLAS AGRICOLE,INDUSTRI. QUIMICAKEY I.Q.V. – Espagne I.Q.V. – Espagne I.Q.V. – Espagne IQV DEL VALLES SIPCAM QUIMAGRO SIPCAM QUIMAGRO I.Q.V. – Espagne SIPCAM INAGRA
O X I F E N E C,E t s M E Z G H A N I,I N D U S T . Q U I M ICA KEY
O X I F E N E C,E t s M E Z G H A N I,I N D U S T . Q U I M ICA
O X I F E N E C,E t s M E Z G H A N I,INDUST.
O X I F E N E C,E t s M E Z G H A N I,I N DUST.
O X I F E N E C,E t s M E Z G H A N I,nan
AGRIKAR EC,EL BARAKA,DOW
BROADSTRIKE,EL BARAKA,DOW
TRANSFORM SC,EL BARAKA,DOW AGROSCIENCE/c orteva
TREZAK EC,EL BARAKA,Dow agroscience
Zorvec encantia SE,EL BARAKA,CORTEVA
Zorvecencantia SE,EL BARAKA,CORTEVA
nan,EL BARAKA,DU PONT
BROADSTRIKE WG,EL BARAKA AGRICOLE,DOW AGROSCIENCE
FLAME 50 SG,EL BARAKA AGRICOLE,ALBAUGH EUROPE
TREZAK EC,EL BARAKA AGRICOLE,Dow agroscience
Diablo,EL KHADHRA,INDUSTRIAS AFRAZA
Diablo,EL KHADHRA,INDUSTRIAS AFRAZA/ALBAU GH EUROPE SARL
Foslete 50,EL KHADHRA,SIPCAM INAGRA
ABANTO 40 EC,EL KHADRA,AFRASA INDUSTRIAS S.A
ABANTO 40 EC,EL KHADRA,AFRASA INDUSTRIAS
ABANTO 40 EC,EL KHADRA,INDUSTRIAS AFRAZA/ALBAU GH EUROPE SARL
AFROSAN DUPLO,EL KHADRA,AFRASA
Alfil Duplo,EL KHADRA,AFRASA
AzufreMicronizad o,EL KHADRA,AFEPASA S.A
AzufreMicronizado,EL KHADRA,AFEPASA S.A
Azumo,EL KHADRA,AFEPASA S.A
BENTA SL,EL KHADRA,NANJING
BLITZ 720 SL,EL KHADRA,JIANGSU
BLITZ 720 SL,EL KHADRA,"JIANGSU FENGSHAN GROUP CO,LTD (FAB)/NANJING FENGSHAN CHEMICAL(FR)"
BOMBA WG,EL KHADRA,JSC(AUGUST)
BOMBA WG,EL KHADRA,JSC(AVGUST)
BREAK ME SC SR/ Changement Nom COMMBreak thru,EL KHADRA,AUGUST inc/CORPORATE
Borey SC,EL KHADRA,Avgust Crop Protection
Borey SC,EL KHADRA,AvgustCrop Protection
C YCLO MAX SC,EL KHADRA,AFRASA INDUSTRIALS/ESPAGN E/ ALBAUGH EUROPE SARL ALBAUGH EUROPE SARL
CICLOPE,EL KHADRA,INDRUSTRIAS AFRASA
CICLOPE EC,EL KHADRA,INDRUSTRIAS
CICLOPE EC,EL KHADRA,INDRUSTRIAS AFRASA
CICLOPE EC,EL KHADRA,INDUSTRIAS AFRAZA/ALBAU GH EUROPE SARL
CIFOXIL,EL KHADRA,SIPCAM INAGRA
CURYGEN EC,EL KHADRA,JSC AUGUST INC
CURYGEN EC,EL KHADRA,JSC AVGUST INC
CYCLO-R- LIQUIDE,EL KHADRA,INDUSTRIAS AFRASA
CYCLO-R- LIQUIDE,EL KHADRA,INDUSTRIAS AFRAZA/ALBAUGH EUROPE SARL
CYCLO-R-LIQUIDE,EL KHADRA,INDUSTRIAS
Collosal Pro,EL KHADRA,AUGUST JSC
Colossal Pro,EL KHADRA,AUGUST
Cyclo WP,EL KHADRA,AFRASA
D IMANYL WG,EL KHADRA,HANGZOU TOPAGRO BIOSCIENCE
D r i z a W G,EL KHADRA,INDSUTRIAS
DIABLO MAX SC,EL KHADRA,AFRASA INDUSTRIAS
DIABLO MAX SC,EL KHADRA,AFRASA INDUSTRIAS S.A
DIABLO MAX SC,EL KHADRA,INDUSTRIAS AFRAZA/ALBAU GH EUROPE SARL
Dauphin,EL KHADRA,SIPCAM INAGRA
Dazitol,EL KHADRA,CHAMPION MILLENIUM CHEMICALS
Dazitol,EL KHADRA,CHAMPION
Dazitol,EL KHADRA,nan
Dipiril Plus,EL KHADRA,INDUSTRIALS AFRASA SA
Dipiril Plus,EL KHADRA,INDUSTRIALS
Dipiril Plus,EL KHADRA,INDUSTRIAS
F L A S H EVO,EL KHADRA,SIPCAM INAGRA
F L A SH UM,EL KHADRA,SIPCAM INAGRA (ancient fabricant: NIHON NOHYAKU Co. Ltd)
F ilal,EL KHADRA,AFRASA
FENGIB MAX EC,EL KHADRA,SIPCAM INAGRA S.A
FILAL PLUS WG,EL KHADRA,AFRASA
FILAL PLUS WG,EL KHADRA,INDUSTRIAS AFRAZA/ALBAUGH EUROPE SARL
FLASH EVO,EL KHADRA,nan
FLASH EVO,EL KHADRA,SIPCAM INAGRA (ancientfabricant: NIHON NOHYAKU Co. Ltd)
FUGIX SC,EL KHADRA,SIPCAM INAGRA
Filal,EL KHADRA,AFRASA
Filal,EL KHADRA,INDUSTRIAS AFRAZA/ALBAUGH EUROPE SARL
Finito WG,EL KHADRA,SHARDA
Fouir,EL KHADRA,SHARDA
Fouir,EL KHADRA,SHARDA CROPCHEM LIMITED INDE
HACHI-HACHI E C,EL KHADRA,SIPCAM INAGRA
JAGUAR 100 EC,EL KHADRA,JIANGSU
KEYZOL SC,EL KHADRA,AVGUST CROP CORPORATION
KEYZOL SC,EL KHADRA,AVGUST CROP
LEGADO 250 SC,EL KHADRA,AFRASA INDUSTRIAS AFRASA S.A
LEGADO 250 SC,EL KHADRA,AFRASA
LEGADO 250 SC,EL KHADRA,INDUSTRIAS AFRAZA/ALBAUGH EUROPE SARL
LEMBAR,EL KHADRA,SIPCAM INAGRA
LIMAGRAM,EL KHADRA,SIPCAM INAGRA
LORET 300 SL,EL KHADRA,Sharda Cropchem Limited
Magma Triple,EL KHADRA,AFRASA
Magma Triple,EL KHADRA,INDUSTRIAS AFRAZA/ALBAUGH EUROPE SARL
Micene Triple,EL KHADRA,SIPCAM INAGRA
Mycoseeds FS 60,EL KHADRA,Sharda World wide
OIKOS MAX,EL KHADRA,SIPCAM INAGRA
PRETIL SC,EL KHADRA,INDUSTRIAS AFRASA S.A / ALBAUGH EUROPE SARL
PROXIMO EC,EL KHADRA,Indsutrias AFRASA S.A
PROXIMO EC,EL KHADRA,INDUSTRIAS
PROXIMO EC,EL KHADRA,INDUSTRIAS AFRAZA/ALBAU GH EUROPE SARL
PUGIL CX,EL KHADRA,SIPCAM INAGRA
QUIMERA WG,EL KHADRA,AFRASA
QUIMERA WG,EL KHADRA,AFRASA/JEBAGRO(distr ibuteur)
QUIMERA WG,EL KHADRA,INDUSTRIAS AFRAZA/ALBAUGH EUROPE SARL
R A L I N E 4 8 0 E C,EL KHADRA,JIANGSU
R A L I N E 4 80 EC,EL KHADRA,nan
RYCAR SC,EL KHADRA,SIPCAM INAGRAS
S ERISS 25 EC,EL KHADRA,INDUSTRIAS AFRASA S.A / ALBAUGH EUROPE SARL
S INOCYPER,EL KHADRA,CROPSAVE PESTICIDES INDIAN PVT.LTD
SATELITE 360 SL,EL KHADRA,AFRASA INDUSTRIAS AFRASA S.A
SATELITE360 SL,EL KHADRA,AFRASA
SATELITE360 SL,EL KHADRA,AFRASA INDUSTRIAS AFRASA S.A
SATELITE360 SL,EL KHADRA,INDUSTRIAS AFRAZA/ALBAU GH EUROPE SARL
SPEEDY SC,EL KHADRA,NINGBO SUNJOY
SPEEDY SC,EL KHADRA,NINGBO SUNJOY AGROSCIENCE INDUSTRY/Cropidea
SPINO 480 SC,EL KHADRA,BAICO BIOTECH
SPINO 480 SC,EL KHADRA,"BAICO BIOTECH CO,LTD/"
SYNCHRO,EL KHADRA,SHARDA WORLDWIDE
SYNCHRO,EL KHADRA,nan
TERBYNE 75 WG,EL KHADRA,SIPCAM INAGRA
Topol,EL KHADRA,SHARDA
Topol,EL KHADRA,SHARDA CROPCHEM LIMITED INDE
VALMEC EC,EL KHADRA,INDUSTRIAS AFRASA S.A
VALMEC EC,EL KHADRA,INDUSTRIAS AFRASA
VALMEC EC,EL KHADRA,INDUSTRIAS AFRAZA/ALBAU GH EUROPE SARL
VEGA,EL KHADRA,Sharda Cropchem Limited
Volteo 75 WG,EL KHADRA,AFRASA
Volteo 75 WG,EL KHADRA,INDUSTRIAS
Volteo 75 WG,EL KHADRA,nan
Xpert WG,EL KHADRA,Sharda
nan,EL KHADRA,SIPCAM INAGRA
D r i z a W G Prodax,EL KHADRA SANABEL AGRO,INDSUTRIAS AFRASA SINON CORPORATION
A u r i g e 7 0,EL KHADRHA,SIPCAM INAGRA
SOLFOLIQUID 80 SC,EL KHARDA,Espagne
SULFOMAX,EL KHARDA,AFEPASA
ALLUM WG,EL MOUSSEM,NUFARM
Allum MZ,EL MOUSSEM,NUFARM
Amaline Flow,EL MOUSSEM,NUFARM
Amiral,EL MOUSSEM,PARIJAT INDUSTR.
C i t r o l e,EL MOUSSEM,TotalEnergies Fluides
CONFIRM 5 EW,EL MOUSSEM,NIPPON SODA/ Nisso
CONFIRM 5 EW,EL MOUSSEM,NIPPON SODA/ Nisso Chemical Europe GmbH
CYPGOLD 500 EC,EL MOUSSEM,ARYSTA
CYPGOLD 500 EC,EL MOUSSEM,ARYSTA LIFESCIENCE
CYPGOLD 500 EC,EL MOUSSEM,ARYSTA LIFESCIENCE /UPL
CeraBait,EL MOUSSEM,EVIE MICHAAILIDES
CeraBait,EL MOUSSEM,EVIE
CeraBait,EL MOUSSEM,nan
Cesar,EL MOUSSEM,"NIPPON SODA CO.,"
Challenge 600SC,EL MOUSSEM,Bayer AG
Corasil Super,EL MOUSSEM,NUFARM
Cuprofix C WG,EL MOUSSEM,UPL
Cuproxat,EL MOUSSEM,NUFARM
D e c i s E C 2 5,EL MOUSSEM,BAYER CROPSCIENCE
D i v a 1 . 8 E W,EL MOUSSEM,CHEMINOVA
EVITO 480 SC,EL MOUSSEM,ARYSTA
EVITO P,EL MOUSSEM,ARYSTA
EVITO P,EL MOUSSEM,ARYSTA LIFESCIENCE/ UPL
Evito T,EL MOUSSEM,ARYSTA
F I L D E R,EL MOUSSEM,ARYSTA LIFESCIENCE/UPL
FILDER,EL MOUSSEM,ARYSTA LIFESCIENCE/UPL
Gipsy,EL MOUSSEM,ROTAM AGROCHEMICA L
Hurricaine,EL MOUSSEM,SOCIETE OCCITANE DE FABRICATIONS ET DE TECHNOLOGIES/ SDP
KABUTO,EL MOUSSEM,Mitsui Chemicals
KABUTO,EL MOUSSEM,"Mitsui Chemicals crop&life solutions,Inc(fab)/ Summit Agro International Ltd(fournisseur)"
KABUTO,EL MOUSSEM,"Mitsui Chemicals crop&lifesolutions,Inc(fab) / Summit Agro International Ltd(fournisseur)"
KAISO 5%,EL MOUSSEM,NUFARM
KYLEO,EL MOUSSEM,NUFARM
LEIMAY 20 SC,EL MOUSSEM,NISSAN CHEMICAL
M y t h os300 SC,EL MOUSSEM,BAYER
METEOR,EL MOUSSEM,NUFARM/arist
Nupoxyn,EL MOUSSEM,NUFARM
Prev-am,EL MOUSSEM,ORO AGRI
Previcur Energy,EL MOUSSEM,BAYER
"Rufast 7,5 EW",EL MOUSSEM,CHEMINOVA
SERENADE PRIME,EL MOUSSEM,Bayer AG
Super Chlorpy,EL MOUSSEM,GHARDA
Super Chlorpy,EL MOUSSEM,GHARDA CHEMICALS/arist eas
T a z e r 2 5 0 S C,EL MOUSSEM,NUFARM
Takumi 20 WG,EL MOUSSEM,NIHON NOHYAKU /
Tiger,EL MOUSSEM,PARIJAT
Timpani,EL MOUSSEM,NUFARM
VACCIPLANT,EL MOUSSEM,GOEMAR SAS
VACCIPLANT,EL MOUSSEM,GOEMAR SAS/ARYSTA/UPL
Volare,EL MOUSSEM,BAYER AG
Tayara Kleen Up Glyphos Pharon Blanca Weed Killer Nasa 36 SL,EL MOUSSEM AGRI BIOPROTECTION AGROSYSTEMES INNOVA COTUGRAIN IMPEX EL KHADRA SOCOOPEC,NUFARM AMERICAS NUFARM Cheminova NUFARM S.A Sharda World Wide Sharda World Wide ZENITH CROPSCIENCES/agria
M a t o n,EL MOUSSEM AGRI.,A H MARKS / NUFARM
ALLUM WG,EL MOUSSEM AGRICOLE,NUFARM
Allum MZ,EL MOUSSEM AGRICOLE,NUFARM
Amaline Flow,EL MOUSSEM AGRICOLE,NUFARM
Amiral,EL MOUSSEM AGRICOLE,PARIJAT INDUSTR./ariestas
Attribut 70 SG,EL MOUSSEM AGRICOLE,BAYER CROPSCIENCE
Cesar,EL MOUSSEM AGRICOLE,"NIPPON SODA CO., LTD/arysta/upl"
Cesar,EL MOUSSEM AGRICOLE,"NIPPON SODA CO., LTD/ARYSTA/UP L"
Cesar,EL MOUSSEM AGRICOLE,"NIPPON SODA CO., LTD/ARYSTA/UP L/Aristeas"
Challenge 600SC,EL MOUSSEM AGRICOLE,Bayer AG
Citrole,EL MOUSSEM AGRICOLE,TotalEnergies Fluides
Cuproxat,EL MOUSSEM AGRICOLE,NUFARM
Cuproxat SC,EL MOUSSEM AGRICOLE,NUFARM
D i v a 1 . 8 E W,EL MOUSSEM AGRICOLE,CHEMINOVA
Decis EC 25,EL MOUSSEM AGRICOLE,BAYER CROPSCIENCE
EVITO 480 SC,EL MOUSSEM AGRICOLE,ARYSTA LIFESCIENCES
EVITO 480 SC,EL MOUSSEM AGRICOLE,ARYSTA LIFESCIENCE
EVITO 480 SC,EL MOUSSEM AGRICOLE,ARYSTA LIFESCIENCE/UPL
Evito T,EL MOUSSEM AGRICOLE,ARYSTA LIFESCIENCE
Evito T,EL MOUSSEM AGRICOLE,ARYSTA LIFESCIENCE/UPL
FLUANCE 125 E C,EL MOUSSEM AGRICOLE,Indofil Industries Limited/ARISTEAS Agro
FLUANCE 125 EC,EL MOUSSEM AGRICOLE,Indofil Industries Limited/ARISTEAS Agro
GLADIUS 10 SC,EL MOUSSEM AGRICOLE,"Nippon kayaku Co.,Ltd/Summit Agro international Ltd"
Illicos Flexi 300 SC,EL MOUSSEM AGRICOLE,SYNGENTA
KAISO 5%,EL MOUSSEM AGRICOLE,NUFARM
KYLEO,EL MOUSSEM AGRICOLE,NUFARM
LEIMAY 20 SC,EL MOUSSEM AGRICOLE,ARYSTA LIFESCIENCES
LEIMAY 20 SC,EL MOUSSEM AGRICOLE,NISSAN CHEMICAL EUROPE SAS/ARYSTA LIFESCIENCES
LEIMAY 20 SC,EL MOUSSEM AGRICOLE,NISSAN CHEMICAL EUROPE SAS/ARYSTA LIFESCIENCES/UPL
Laincobre-M,EL MOUSSEM AGRICOLE,LAINCO
METEOR,EL MOUSSEM AGRICOLE,NUFARM
MEXIRAM TRI H I BIO WG,EL MOUSSEM AGRICOLE,ALBAUGH EUROPE SARL
Mythos300 SC,EL MOUSSEM AGRICOLE,BAYER CROPSCIENCE
Previcur Energy,EL MOUSSEM AGRICOLE,BAYER CROPSCIENCE
Revus 250 SC,EL MOUSSEM AGRICOLE,SYNGENTA
"Rufast 7,5 EW",EL MOUSSEM AGRICOLE,CHEMINOVA
T a z e r 2 5 0 S C,EL MOUSSEM AGRICOLE,NUFARM
Takumi 20 WG,EL MOUSSEM AGRICOLE,NIHON NOHYAKU Co. Ltd / SUMMIT AGRO INTERNATIONAL
Takumi 20 WG,EL MOUSSEM AGRICOLE,nan
Takumi 20 WG,EL MOUSSEM AGRICOLE,NIHON
Tiger,EL MOUSSEM AGRICOLE,PARIJAT INDUSTRIES
Timpani,EL MOUSSEM AGRICOLE,NUFARM
Unix 50 WG,EL MOUSSEM AGRICOLE,SYNGENTA
Volare,EL MOUSSEM AGRICOLE,BAYER AG
B a s t a F 1 Stopa F1,EL MOUSSEM AGRICOLE ATLAS AGRICOLE,BAYER CROPSCIENCE BAYER CROPSCIENCE
S e r e n o Sagaie,EL MOUSSEM AGRICOLE ATLAS AGRICOLE,BAYER CROPSCIENCE BAYER CROPSCIENCE
Cesar Diablo,EL MOUSSEM AGRICOLE EL KHADHRA,"NIPPON SODA CO., LTD INDUSTRIAS AFRAZA"
P r e v - a m Orotun,EL MOUSSEM AGRICOLE RAYEN PHYTAGRI,ORO AGRI ORO AGRI
Amiral Avaunt Vaulent,EL MOUSSEM AGRICOLE SEPCM TASMID,PARIJAT INDUSTR. DU PONT ASTRACHEM
C i t r o l e Plant oil Spray OIL 7 E SunOIL AgroHuile,EL MOUSSEM AGRICOLE STE EL KHADRA INNOVA AGRIMATCO AGROSYSTEMES,TOTAL FLUIDES INDUSTRIAS AFRASA PETRONAS LUBRICANTS BELGIUM NV PETRONAS LUBRICANTS BELGIUM NV PETRONAS LUBRICANTS BELGIUM NV
Insegar 25 WG Hagar,EL MOUSSEM AGROSYSTEMES,SYNGENTA GLOBACHEM
P r e v i c u r 6 0 7 Filex 607 SL Promobest Proplant Promess,EL MOUSSEM ATLAS AGRICOLE TASMID PROTAGRI JADWA AGROTEC,BAYER CROPSCIENCE BAYER CROPSCIENCE ASTRACHEM/ AGRIPHAR AGRIPHAR
Prev-am Orotun,EL MOUSSEM RAYEN PHYTAGRI,ORO AGRI ORO AGRI
Dicozeb 80,ELMOUSSEM.,INDOFIL INDE
BENTAKEY SL,ETS MEZGHANI,SHANDONG BIONNONG TECHNOLOGY CO.LTD/ Distribué par I.Q.Key
BENTAKEY SL,ETS MEZGHANI,SHANDONG
Broditop,ETS MEZGHANI,ZAPI SPA
Broditop wax block,ETS MEZGHANI,ZAPI SPA
D i m e t h o n,ETS MEZGHANI,INDUST. QUIMICA KEY
D i m e t h o n,ETS MEZGHANI,INDUST. QUIMICA
DELFOS 5G,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY
DELFOS 5G,ETS MEZGHANI,INDUSTRIAL QUIMICA
Delfos,ETS MEZGHANI,INDUSTRIAL QUIMICA
Delfos,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY
FOUZILE EC,ETS MEZGHANI,INDUST. QUIMICA KEY
FOUZILE EC,ETS MEZGHANI,INDUST. QUIMICA
Hersan-I,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY S.A
Hersan-I,ETS MEZGHANI,INDUSTRIAL
I n s e c t i c i d a K EY,ETS MEZGHANI,Industrial Quimica Key
IMIDAPUM WG,ETS MEZGHANI,JIANGSU KESHENG
Insecticida KEY,ETS MEZGHANI,Industrial Quimica Key
Insecticida KEY,ETS MEZGHANI,IndustrialQuimica Key
K o n a n EW,ETS MEZGHANI,INDUSTRIAL
Konan EW,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY
T I N A E C,ETS MEZGHANI,INDUSTRIAL QUIMICA
T I N A E C,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY
TINA EC,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY
Delfos Duracid Fostan Dursban 4 E Robust 480 EC Akofos 480 EC Super Chlorpy Lorvek 480 EC,ETS MEZGHANI STEC COTUGRAIN INNOVA ATLAS INDUSTRIE SEPCM EL MOUSSEM ATLAS AGRICOLE,INDUSTRIAL QUIMICA KEY DOW AGROSCIENCES ALCOTAN DOW AGROSCIENCES COROMANDEL AAKO/ PAYS BAS GHARDA CHEMICALS/ DOW AGROSCIENCES
D66,ETS MEZGHANNI,INDUSTRIAL QUIMICA KEY
D66,ETS MEZGHANNI,INDUSTRIAL QUIMICA
Giberkey,ETS MEZGHANNI,Industrial Quimica Key
Giberkey,ETS MEZGHANNI,Industrial Quimica
Giberkey,ETS MEZGHANNI,IndustrialQuimica Key
STV (Soufre Trituré,ETS MEZGHANNI,Sté CHERIFIENNE
STV (Soufre Trituré Ventilé),ETS MEZGHANNI,Sté CHERIFIENNE d’ENGRAIS
Maxil,ETS. MEZGHANI,INDUST.
Selene,ETS. MEZGHANI,INDUSTRIAL QUIMICA
Selene,ETS. MEZGHANI,INDUSTRIAL QUIMICA KEY
Zatest,ETS. MEZGHANI,Agria/INDUST.
Metakey,ETS.MEZGHANI,INDUS
ALDEM 3% GR,EXCEL AGRI,SHARDA
AXYTOP 50WG,EXCEL AGRI,SHARDA
BENAZOLE,EXCEL AGRI,SHARDA
BENAZOLE,EXCEL AGRI,SHARDA CROPCHEM
BENAZOLE,EXCEL AGRI,SHARDA CROPCHEM LIMITED INDE
CAPITOL 80 WG,EXCEL AGRI,SHARDA
CASTEL 48 EC,EXCEL AGRI,SHARDA
HERBOL,EXCEL AGRI,SHARDA
HERBOL,EXCEL AGRI,nan
PROTECT PLUS EC,EXCEL AGRI,SHARDA
PROTECT PLUS EC,EXCEL AGRI,SHARDA CROPCHEM
TAZOLE 410 EC,EXCEL AGRI,SHARDA
VERDIS 36 SL,EXCEL AGRI,Sharda Cropchem
VERDIS 36 SL,EXCEL AGRI,nan
VERDIS 36 SL,EXCEL AGRI,Sharda Cropchem Limited
nan,EXCEL AGRI,SHARDA
N.001-22,Ecospray limited,UK
BRINKA SC,El MOUSSEM,UPL
OSSETIA WG,El MOUSSEM,RotamAgrochemic al
OSSETIA WG,El MOUSSEM,RotamAgrochemic al/ALBAUGH
DUO Flash WG,El Moussem Agricole,BAYER CROPSCIENCE
ELIOS,El Moussem Agricole,BAYER CROPSCIENCE
A C T R O S E 1 8 E C,Ets MEZGHANI,ASTRACHEM
ACTROSE 18 EC,Ets MEZGHANI,ASTRACHEM
Exitox,Ets MEZGHANI,INDUSTRIAL QUIMICA KEY
Exitox,Ets MEZGHANI,INDUSTRIAL QUIMICA
Exitox,Ets MEZGHANI,INDUSTRIAL
F l u r a l,Ets MEZGHANI,INDUSTRIAL Q.
F l u r a l,Ets MEZGHANI,INDUSTRIAL Q. KEY
F l u r a l,Ets MEZGHANI,nan
KEY Azufre,Ets MEZGHANI,INDUSTRIAL QUIMICA KEY
KEY Azufre,Ets MEZGHANI,INDUSTRIAL
KEY Azufre,Ets MEZGHANI,nan
KEY Azufre,Ets MEZGHANI,INDUSTRIAL QUIMICA
KEYFOL 80 WP,Ets MEZGHANI,LIMIN CHEMICAL CO.LTD
KEYFOL 80 WP,Ets MEZGHANI,LIMIN CHEMICAL
MERCERATITE,Ets MEZGHANI,Key
MERCERATITE KEY,Ets MEZGHANI,Key
P R O M O R E 7 2 2 S L,Ets MEZGHANI,ASTRACHEM
PROMORE 722 SL,Ets MEZGHANI,ASTRACHEM
PROZOLE 250 EC,Ets MEZGHANI,ASTRACHEM
PROZOLE 250 EC,Ets MEZGHANI,A STRACHEM
SIMAKEY,Ets MEZGHANI,INDUSTRIAL QUIMICA KEY/ Espagne
SIMAKEY,Ets MEZGHANI,INDUSTRIAL
SIMAKEY,Ets MEZGHANI,nan
TALENT 150 SC,Ets MEZGHANI,ASTRACHEM
TALENT 150 SC,Ets MEZGHANI,ASTRACHEM/ASTRAN
TALENT 150 SC,Ets MEZGHANI,nan
TERAPUR,Ets MEZGHANI,Industrial Quimica Key
TERAPUR,Ets MEZGHANI,IndustrialQuimica Key
TERAPUR,Ets MEZGHANI,IndustrialQuimic a Key
TIOKEY WP,Ets MEZGHANI,HAILI GUIXI CHEMICAL PESTICIDE CO.LTD
TIOKEY WP,Ets MEZGHANI,HAILI GUIXI
nan,Ets MEZGHANI,Key
Azox SC,Ets MEZGHANNI,JIANGYIN SULI CHEMICAL CO.LTD
Azox SC,Ets MEZGHANNI,JIANGYIN SULI
